Conference,Year,level_2,0
IEEEcloud,2012,pct_has_big,9.35
IEEEcloud,2012,pct_no_big,81.29
IEEEcloud,2012,pct_all_none,9.35
IEEEcloud,2013,pct_has_big,8.76
IEEEcloud,2013,pct_no_big,81.75
IEEEcloud,2013,pct_all_none,9.49
IEEEcloud,2014,pct_has_big,5.63
IEEEcloud,2014,pct_no_big,83.1
IEEEcloud,2014,pct_all_none,11.27
IEEEcloud,2015,pct_has_big,4.96
IEEEcloud,2015,pct_no_big,90.08
IEEEcloud,2015,pct_all_none,4.96
IEEEcloud,2016,pct_has_big,13.13
IEEEcloud,2016,pct_no_big,73.74
IEEEcloud,2016,pct_all_none,13.13
IEEEcloud,2017,pct_has_big,9.52
IEEEcloud,2017,pct_no_big,84.52
IEEEcloud,2017,pct_all_none,5.95
IEEEcloud,2018,pct_has_big,12.63
IEEEcloud,2018,pct_no_big,83.16
IEEEcloud,2018,pct_all_none,4.21
IEEEcloud,2019,pct_has_big,10.71
IEEEcloud,2019,pct_no_big,88.1
IEEEcloud,2019,pct_all_none,1.19
IEEEcloud,2020,pct_has_big,8.33
IEEEcloud,2020,pct_no_big,78.57
IEEEcloud,2020,pct_all_none,13.1
IEEEcloud,2021,pct_has_big,29.21
IEEEcloud,2021,pct_no_big,68.54
IEEEcloud,2021,pct_all_none,2.25
IEEEcloud,2022,pct_has_big,30.16
IEEEcloud,2022,pct_no_big,65.08
IEEEcloud,2022,pct_all_none,4.76
IEEEcloud,2023,pct_has_big,13.04
IEEEcloud,2023,pct_no_big,84.06
IEEEcloud,2023,pct_all_none,2.9
IEEEcloud,2024,pct_has_big,30.19
IEEEcloud,2024,pct_no_big,62.26
IEEEcloud,2024,pct_all_none,7.55
asplos,2012,pct_has_big,29.73
asplos,2012,pct_no_big,70.27
asplos,2012,pct_all_none,0.0
asplos,2013,pct_has_big,15.91
asplos,2013,pct_no_big,79.55
asplos,2013,pct_all_none,4.55
asplos,2014,pct_has_big,20.0
asplos,2014,pct_no_big,80.0
asplos,2014,pct_all_none,0.0
asplos,2015,pct_has_big,16.67
asplos,2015,pct_no_big,81.25
asplos,2015,pct_all_none,2.08
asplos,2016,pct_has_big,23.64
asplos,2016,pct_no_big,76.36
asplos,2016,pct_all_none,0.0
asplos,2017,pct_has_big,28.57
asplos,2017,pct_no_big,71.43
asplos,2017,pct_all_none,0.0
asplos,2018,pct_has_big,14.29
asplos,2018,pct_no_big,85.71
asplos,2018,pct_all_none,0.0
asplos,2019,pct_has_big,21.62
asplos,2019,pct_no_big,77.03
asplos,2019,pct_all_none,1.35
asplos,2020,pct_has_big,20.93
asplos,2020,pct_no_big,79.07
asplos,2020,pct_all_none,0.0
asplos,2021,pct_has_big,21.33
asplos,2021,pct_no_big,78.67
asplos,2021,pct_all_none,0.0
asplos,2022,pct_has_big,17.5
asplos,2022,pct_no_big,81.25
asplos,2022,pct_all_none,1.25
asplos,2023,pct_has_big,27.81
asplos,2023,pct_no_big,72.19
asplos,2023,pct_all_none,0.0
asplos,2024,pct_has_big,23.23
asplos,2024,pct_no_big,75.25
asplos,2024,pct_all_none,1.52
atc,2012,pct_has_big,34.38
atc,2012,pct_no_big,65.62
atc,2012,pct_all_none,0.0
atc,2013,pct_has_big,30.3
atc,2013,pct_no_big,69.7
atc,2013,pct_all_none,0.0
atc,2014,pct_has_big,27.27
atc,2014,pct_no_big,72.73
atc,2014,pct_all_none,0.0
atc,2015,pct_has_big,36.17
atc,2015,pct_no_big,63.83
atc,2015,pct_all_none,0.0
atc,2016,pct_has_big,27.66
atc,2016,pct_no_big,72.34
atc,2016,pct_all_none,0.0
atc,2017,pct_has_big,26.67
atc,2017,pct_no_big,73.33
atc,2017,pct_all_none,0.0
atc,2018,pct_has_big,27.63
atc,2018,pct_no_big,72.37
atc,2018,pct_all_none,0.0
