Conference,Year,Name,Institution,Countries
asplos,2013,Jonathan McCune,CMU,United States
asplos,2013,Andrew Myers,Cornell,United States
asplos,2013,Edward Suh,Cornell,United States
asplos,2013,Michael O’Boyle,Edinburgh,United Kingdom
asplos,2013,Ali Reza Adl-Tabatabai,Facebook,United States
asplos,2013,Ada Gavrilovska,GATECH,United States
asplos,2013,Kim Hazelwood,Google,United States
asplos,2013,Florentina Popovici,Google,United States
asplos,2013,Rodric Rabbah,IBM,United States
asplos,2013,Xiaolan Zhang,IBM,United States
asplos,2013,Olivier Temam,INRIA Saclay,France
asplos,2013,Todd Austin,Mich,United States
asplos,2013,Thomas Wenisch,Mich,United States
asplos,2013,Nickolai Zeldovich,MIT,United States
asplos,2013,Karin Strauss,MSR,United States
asplos,2013,P. (Saday) Sadayappan,Ohio State,United States
asplos,2013,Hassan Chafi,Oracle labs,United States
asplos,2013,Adam Welc,Oracle Labs,United States
asplos,2013,Nathan Tallent,PNNL,United States
asplos,2013,David Wentzlaff,Princeton,United States
asplos,2013,Calin Cascaval,Qualcomm,United States
asplos,2013,Lin Zhong,Rice,United States
asplos,2013,David Mazieres,Stanford,United States
asplos,2013,Emmett Witchel,Texas,United States
asplos,2013,Brian Demsky,UCI,United States
asplos,2013,Jason Cong,UCLA,United States
asplos,2013,Tim Sherwood,UCSB,United States
asplos,2013,Tajana Simunic Rosing,UCSB,United States
asplos,2013,Sarita Adve,UIUC,United States
asplos,2013,Keshav Pingali,UT Austin,United States
asplos,2013,Steven Gribble,UW,United States
asplos,2013,Mark Oskin,UW,United States
asplos,2013,Ole Agesen,VMWare,United States
asplos,2013,Byung-Gon Chun,Yahoo!,United States
asplos,2013,Bryan Ford,Yale,United States
asplos,2014,Krisztian Flautner,ARM,United Kingdom
asplos,2014,Martha Kim,Columbia University,United States
asplos,2014,Willy Zwaenepoel,EPFL,Switzerland
asplos,2014,Martin Vechev,ETH,Switzerland
asplos,2014,Brad Chen,Google,United States
asplos,2014,Parthasarathy (Partha) Ranganathan,Google,United States
asplos,2014,Eddie Kohler,Harvard University,United States
asplos,2014,David F. Bacon,IBM Research,United States
asplos,2014,Ravi Iyer,Intel Corp.,United States
asplos,2014,Debbie Marr,Intel Corp.,United States
asplos,2014,Francois Bodin,Irisa,France
asplos,2014,Trishul Chilimbi,Microsoft Research,United States
asplos,2014,Kathryn S. McKinley,Microsoft Research,United States
asplos,2014,Karin Strauss,Microsoft Research/University of Washington,United States
asplos,2014,Tim Harris,Oracle Labs,United States
asplos,2014,Mary Jane Irwin,Pennsylvania State University,United States
asplos,2014,Margaret Martonosi,Princeton University,United States
asplos,2014,Vijay Pai,Purdue University,United States
asplos,2014,Calin Cascaval,Qualcomm,United States
asplos,2014,Santosh Nagarakatte,Rutgers University,United States
asplos,2014,Emmett Witchel,Univerity of Texas at Austin,United States
asplos,2014,John Kubiatowicz,"University of California, Berkeley",United States
asplos,2014,"Lin Zhong, Rice University","University of California, San Diego",United States
asplos,2014,Sarita Adve,University of Illinois at Urbana-Champaign,United States
asplos,2014,Emery Berger,University of Massachusetts Amherst,United States
asplos,2014,Satish Narayanasamy,University of Michigan,United States
asplos,2014,Tom Wenisch,University of Michigan,United States
asplos,2014,Sandhya Dwarkadas,University of Rochester,United States
asplos,2014,Keshav Pingali,University of Texas at Austin,United States
asplos,2014,David Lie,University of Toronto,Canada
asplos,2014,Luis Ceze,University of Washington,United States
asplos,2014,Mark Hill,University of Wisconsin,United States
asplos,2014,Shan Lu,University of Wisconsin,United States
