Conference,Year,Title,Countries,Institutions
asplos,2012,PocketWeb: instant web browsing for mobile devices.,United States,Microsoft (United States); Microsoft (United States); Microsoft (United States); Indian Institute of Technology Kanpur; Microsoft (United States)
asplos,2012,Reflex: using low-power processors in smartphones without knowing them.,United States,Rice University; Rice University; Rice University; Rice University
asplos,2012,Totally green: evaluating and designing servers for lifecycle environmental impact.,United States,Hewlett-Packard (United States); Hewlett-Packard (United States); Hewlett-Packard (United States); Hewlett-Packard (United States); Hewlett-Packard (United States); Hewlett-Packard (United States)
asplos,2012,Clearing the clouds: a study of emerging scale-out workloads on modern hardware.,Switzerland,Carnegie Mellon University; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne
asplos,2012,Iterative optimization for the data center.,China,Institute of Computing Technology; Chinese Academy of Sciences; Institute of Computing Technology; Chinese Academy of Sciences; Ghent University; Institut national de recherche en sciences et technologies du numérique; Chinese Academy of Sciences
asplos,2012,Tarazu: optimizing MapReduce on heterogeneous clusters.,United States,Purdue University West Lafayette; Princeton University; Purdue University West Lafayette; Purdue University West Lafayette
asplos,2012,Leveraging stored energy for handling power emergencies in aggressively provisioned datacenters.,United States,Microsoft (United States); Pennsylvania State University; Pennsylvania State University; Pennsylvania State University
asplos,2012,Understanding modern device drivers.,United States,University of Wisconsin–Madison; University of Wisconsin–Madison
asplos,2012,Chameleon: operating system support for dynamic processors.,United States,University of Wisconsin–Madison; University of Wisconsin–Madison
asplos,2012,Cosmic rays don't strike twice: understanding the nature of DRAM errors and the implications for system design.,Canada,University of Toronto; University of Toronto; University of Toronto
asplos,2012,Relyzer: exploiting application-level fault equivalence to analyze application resiliency to transient faults.,United States,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; Intel (United States); Intel (India)
asplos,2012,Comprehensive kernel instrumentation via dynamic binary translation.,Canada,University of Toronto; University of Toronto; University of Toronto
asplos,2012,Continuous object access profiling and optimizations to overcome the memory wall and bloat.,Japan,IBM Research - Tokyo; IBM Research - Tokyo
asplos,2012,A case for unlimited watchpoints.,United States,University of Michigan; Carnegie Mellon University; University of Michigan; University of Michigan
asplos,2012,Aikido: accelerating shared data dynamic analyses.,United States,Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology
asplos,2012,Data races vs. data race bugs: telling the difference with portend.,Switzerland,École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne
asplos,2012,Scalable address spaces using RCU balanced trees.,United States,IIT@MIT; IIT@MIT; IIT@MIT
asplos,2012,Applying transactional memory to concurrency bugs.,United States,University of Wisconsin–Madison; University of Wisconsin–Madison; University of Wisconsin–Madison
